Splits ,Time,Cumulative Time,Moving Time,Distance,Avg Stroke Rate,Max Stroke Rate,Avg Distance per Stroke,Avg Pace,Avg Moving Pace,Best Pace,Avg HR,Max HR,Calories
1,03:56.5,03:56.5,03:38,500,26,37,5.82,03:57,03:38,02:06,99,133,26
2,03:34.6,07:31.1,02:34,500,18,24,10.96,03:35,02:34,02:02,107,123,24
3,02:41.6,10:13,02:39,500,19,22,10.4,02:42,02:39,01:57,112,118,20
4,02:26.4,12:39,02:23,500,18,19,11.42,02:26,02:23,01:57,118,130,20
5,02:16.0,14:55,02:15,500,19,28,11.32,02:16,02:15,01:43,123,143,20
6,02:17.3,17:12,02:15,500,22,35,9.71,02:17,02:15,01:40,128,143,23
7,07:06.0,24:18:00,02:45,500,21,35,9.85,07:06,02:45,01:39,112,124,45
8,02:05.5,26:24:00,02:02,500,23,33,10.45,02:05,02:02,01:39,131,139,21
9,03:30.5,29:54:00,03:30.5,500,24,35,9.67,03:31,03:31,01:27,131,164,33
10,01:50.2,31:45:00,01:39,500,29,36,9.61,01:50,01:39,01:29,146,170,21
11,01:40.5,33:25:00,01:36,500,34,42,8.71,01:41,01:36,01:27,145,172,20
12,02:25.7,35:51:00,02:19,500,25,47,9.18,02:26,02:19,01:29,134,147,25
13,04:26.2,40:17:00,03:50,500,20,32,9.35,04:26,03:50,02:00,116,131,25
14,04:25.3,44:42:00,02:37,500,23,35,8.79,04:25,02:37,01:41,102,145,15
15,02:01.5,46:44:00,02:01.5,500,32,40,7.74,02:02,02:02,01:47,121,148,15
16,04:00.6,50:45:00,02:23,500,30,39,7.75,04:01,02:23,01:44,103,139,18
17,03:18.1,54:03:00,02:33,500,20,33,9.38,03:18,02:33,02:11,89,96,8
18,06:50.3,01:00:53,05:17,500,21,51,9.6,06:50,05:17,02:03,92,111,21
19,01:52.5,01:02:45,01:51,500,30,36,9.06,01:53,01:51,01:28,128,173,15
20,01:43.4,01:04:29,01:40,500,35,43,8.2,01:43,01:40,01:31,147,171,22
21,02:44.9,01:07:14,02:38,436,26,47,7.72,03:09,03:01,01:32,141,147,32
Summary,01:07:14,01:07:14,56:09:00,"10,436",24,51,9.12,03:13,02:41,01:27,115,173,469
